"動畫名","總觀看數","平均觀看數","年份","月份","集數","星級","評分人數","導演監督","製作廠商","作品分類1","作品分類2","作品分類3","作品分類4","作品分類5","作品分類6","原作載體","新續作"
"幕末替身傳說",123000,10250,"2022","夏番",12,"3.1",1129,"平川哲生","GENO STUDIO","動作","冒險","歷史",NULL,NULL,NULL,"原創作品","新作"
"風都偵探",816000,68000,"2022","夏番",12,"4.9",4505,"椛島洋介","Studio KAI","動作","科幻","推理",NULL,NULL,NULL,"漫畫改編","新作"
"Dr.STONE 新石紀 (龍水)",360000,180000,"2022","夏番",2,"4.9",3508,"松下周平","TMS Entertainment","動作","冒險","奇幻","科幻","勵志",NULL,"漫畫改編","續作"
"因為是反派大小姐所以養了魔王",874000,72833,"2022","夏番",12,"4.6",3880,"羽原久美子","MAHO FILM.","奇幻","戀愛",NULL,NULL,NULL,NULL,"小說改編","新作"
"我家師傅沒有尾巴",219000,16846,"2022","夏番",13,"4.8",1677,"山本秀世","LIDENFILMS","悠閒","歷史",NULL,NULL,NULL,NULL,"漫畫改編","新作"
"惑星公主蜥蜴騎士",329000,13160,"2022","夏番",25,"3.8",1403,"中西伸彰","NAZ","動作","超能力",NULL,NULL,NULL,NULL,"漫畫改編","新作"
"繼母的拖油瓶是我的前女友",2556000,213000,"2022","夏番",12,"4.8",10846,"柳伸亮","project No.9","校園","喜劇","戀愛",NULL,NULL,NULL,"小說改編","新作"
"來自深淵 烈日的黃金鄉",2696000,224667,"2022","夏番",12,"5",15661,"小島正幸","Kinema Citrus","冒險","奇幻","血腥暴力","黑暗",NULL,NULL,"漫畫改編","續作"
"契約之吻",2048000,157538,"2022","夏番",13,"4.7",9853,"田中智也","A-1 Pictures","動作","奇幻","科幻","喜劇","戀愛",NULL,"原創作品","新作"
"幽零幻鏡",66000,5500,"2022","夏番",12,"4.2",633,"霜山朋久","Science SARU","冒險","科幻",NULL,NULL,NULL,NULL,"原創作品","新作"
"聯盟空軍航空魔法音樂隊 光輝魔女",218000,16769,"2022","夏番",13,"4.7",1393,"佐伯昭志","SHAFT","青春","溫馨","音樂",NULL,NULL,NULL,"原創作品","新作"
"神渣☆偶像",311000,31100,"2022","夏番",10,"4.8",2365,"福岡大生","Studio 五組","喜劇","偶像","音樂",NULL,NULL,NULL,"漫畫改編","新作"
"金裝的維爾梅～瀕臨留級的魔法師聯手最強災厄勇闖魔法世界～",140000,11667,"2022","夏番",12,"4.6",1092,"直谷隆","Staple Entertainment","奇幻","魔法","校園","戀愛",NULL,NULL,"漫畫改編","新作"
"組長女兒與保姆",1291000,107583,"2022","夏番",12,"4.9",7474,"川崎逸朗","feel.、GAINA","溫馨","親情",NULL,NULL,NULL,NULL,"漫畫改編","新作"
"足球風雲！Goal to the Future",93000,7154,"2022","夏番",13,"2.4",399,"中村憲由","EMT Squared","青春","勵志","運動","競技",NULL,NULL,"漫畫改編","續作"
"森林裡的熊先生，冬眠中。",164000,18222,"2022","夏番",9,"3.7",1535,"古賀一臣","studio HōKIBOSHI","溫馨","BL","泡麵番",NULL,NULL,NULL,"漫畫改編","新作"
"叫我對大哥 (WEB版)",497000,5344,"2021","夏番",93,"4.5",580,"青木純","Fanworks、SPACE NEKO COMPANY","喜劇","悠閒","泡麵番","闔家觀賞",NULL,NULL,"漫畫改編","新作"
"星期一的豐滿 第二季",1000000,83333,"2021","夏番",12,"4.8",3223,"小川優樹","横浜アニメーションラボ","戀愛","溫馨","泡麵番",NULL,NULL,NULL,"漫畫改編","續作"
"蓋特機器人 ARC",339000,26077,"2021","夏番",13,"4.5",612,"川越淳","Bee・Media","動作","冒險","科幻","機甲",NULL,NULL,"漫畫改編","續作"
"闇芝居 第九季",91000,7000,"2021","夏番",13,"3.7",158,"ILCA","ILCA","懸疑","靈異神怪","泡麵番",NULL,NULL,NULL,"改編作品","續作"
"現實主義勇者的王國重建記",6272000,241231,"2021","夏番",26,"4.6",9047,"渡部高志","J.C.STAFF","奇幻","異世界",NULL,NULL,NULL,NULL,"小說改編","續作"
"偵探已經，死了。",1939000,161583,"2021","夏番",12,"4.1",5960,"栗原學","ENGI","動作","奇幻","超能力","戀愛","推理",NULL,"小說改編","新作"
"打工吧，魔王大人！第二季",1645000,65800,"2022","夏番",25,"4.3",4879,"筑紫大介","Studio 3Hz","奇幻","異世界","喜劇","戀愛",NULL,NULL,"小說改編","續作"
"轉生成女性向遊戲只有毀滅 END 的壞人大小姐 X",1892000,145538,"2021","夏番",13,"4.9",4571,"井上圭介","SILVER LINK.","異世界","喜劇","戀愛",NULL,NULL,NULL,"小說改編","續作"
"Love Live! Superstar!!",669000,55750,"2021","夏番",12,"4.8",2947,"京極尚彦","SUNRISE","校園","青春","偶像","音樂",NULL,NULL,"漫畫改編","新作"
"瓦尼塔斯的手札",2293000,95542,"2021","夏番",24,"4.9",5169,"板村智幸","BONES","動作","奇幻","魔法",NULL,NULL,NULL,"漫畫改編","續作"
"我們的重製人生",1864000,155333,"2021","夏番",12,"4.8",6522,"小林智樹","feel.","校園","青春","勵志","時間穿越",NULL,NULL,"小說改編","新作"
"開掛藥師的異世界悠閒生活",1136000,94667,"2021","夏番",12,"4.2",2874,"佐藤まさふみ","EMT Squared","異世界","溫馨",NULL,NULL,NULL,NULL,"小說改編","新作"
"平穩世代的韋駄天們",1262000,114727,"2021","夏番",11,"4.9",4550,"城所聖明","MAPPA","動作","超能力","血腥暴力",NULL,NULL,NULL,"漫畫改編","新作"
"RE-MAIN",347000,28917,"2021","夏番",12,"4.7",1048,"西田征史","MAPPA","校園","青春","運動","競技",NULL,NULL,"原創作品","新作"
"漂流少年",478000,39833,"2021","夏番",12,"4.8",2514,"夏目真悟","MADHOUSE","冒險","超能力","青春","推理",NULL,NULL,"原創作品","新作"
"魔法科高中的優等生",1403000,107923,"2021","夏番",13,"4.3",2271,"橘秀樹","CONNECT","奇幻","魔法","科幻","校園",NULL,NULL,"漫畫改編","新作"
"月光下的異世界之旅",3370000,280833,"2021","夏番",12,"4.8",5788,"石平信司","C2C","冒險","異世界","喜劇",NULL,NULL,NULL,"小說改編","新作"
"女朋友 and 女朋友",1718000,143167,"2021","夏番",12,"4.6",5113,"桑原智","手塚Production","校園","戀愛",NULL,NULL,NULL,NULL,"漫畫改編","續作"
"桃子男孩渡海而來",935000,77917,"2021","夏番",12,"4",1763,"上田繁","旭 Production","動作","冒險","奇幻",NULL,NULL,NULL,"漫畫改編","新作"
"暮蟬悲鳴時 卒",682000,45467,"2021","夏番",15,"4.5",2008,"川口敬一郎","Passione","推理","懸疑","血腥暴力","靈異神怪","黑暗",NULL,"遊戲改編","續作"
"暗夜第六感 2041",11000,917,"2021","夏番",12,"4.1",94,"平川孝充","白組","超能力","科幻",NULL,NULL,NULL,NULL,"原創作品","新作"
"死神少爺與黑女僕",1165000,97083,"2021","夏番",12,"4.9",4556,"山川吉樹","J.C.STAFF","奇幻","喜劇","戀愛",NULL,NULL,NULL,"漫畫改編","續作"
"無能力者娜娜",1843000,141769,"2020","夏番",13,"4.7",3825,"石平信司","Bridge","超能力","校園","推理","懸疑","黑暗",NULL,"漫畫改編","新作"
"大貴族",1360000,97143,"2020","夏番",14,"4.7",1356,"多田俊介、山本靖貴","Production I.G","冒險","奇幻","校園",NULL,NULL,NULL,"漫畫改編","新作"
"果然我的青春戀愛喜劇搞錯了。完",2809000,234083,"2020","夏番",12,"4.9",10125,"及川啓","feel.","校園","戀愛","青春",NULL,NULL,NULL,"小說改編","續作"
"刀劍神域 Alicization War of Underworld -THE LAST SEASON-",5845000,487083,"2020","夏番",12,"3.4",12865,"小野學","A-1 Pictures","動作","冒險","奇幻","魔法","科幻",NULL,"小說改編","續作"
"魔物娘的醫生",1535000,127917,"2020","夏番",12,"4.7",1986,"岩崎良明","ARVO ANIMATION","奇幻","戀愛",NULL,NULL,NULL,NULL,"小說改編","新作"
"熊熊勇闖異世界",2282000,190167,"2020","夏番",12,"4.7",4394,"信田ユウ","EMT Squared","動作","冒險","奇幻","異世界",NULL,NULL,"小說改編","續作"
"高校之神",1772000,136308,"2020","夏番",13,"4.4",2280,"朴性厚","MAPPA","動作","超能力","校園","運動",NULL,NULL,"漫畫改編","新作"
"Lapis Re：LiGHTs",486000,40500,"2020","夏番",12,"4.8",1570,"畑博之","横浜アニメーションラボ","魔法","校園","偶像","音樂",NULL,NULL,"原創作品","新作"
"小妖怪",51000,1308,"2020","夏番",39,"3.2",74,"イワタナオミ","Fanworks Inc.","靈異神怪","闔家觀賞","泡麵番",NULL,NULL,NULL,"漫畫改編","新作"
"GET UP！GET LIVE！＃GERA GERA",37000,3083,"2020","夏番",12,"4.7",117,"エイティーエイト","SPELLBOUND","超能力","校園","喜劇",NULL,NULL,NULL,"原創作品","新作"
"忍者收藏",117000,9000,"2020","夏番",13,"3.4",342,"梅津智史、船田晃","テレビ東京","靈異神怪","泡麵番",NULL,NULL,NULL,NULL,"原創作品","新作"
"出租女友",4255000,354583,"2020","夏番",12,"4.7",7435,"古賀一臣","TMS ENTERTAINMENT","喜劇","戀愛","青春",NULL,NULL,NULL,"漫畫改編","續作"
"炎炎消防隊 貳之章",387000,16125,"2020","夏番",24,"4.8",952,"南川達馬","david production","動作",NULL,NULL,NULL,NULL,NULL,"漫畫改編","續作"
"點滿農民相關技能後，不知為何就變強了。",1326000,110500,"2022","秋番",12,"2.7",6219,"長濱亘彥","studio A-CAT","冒險","奇幻","喜劇",NULL,NULL,NULL,"小說改編","新作"
"後宮之烏",936000,72000,"2022","秋番",13,"4.9",4775,"宮脇千鶴","BN Pictures","戀愛","靈異神怪",NULL,NULL,NULL,NULL,"小說改編","新作"
"被勇者隊伍開除的馭獸使，邂逅了最強種的貓耳少女",2148000,165231,"2022","秋番",13,"4.5",8136," 濁川敦","EMT Squared","冒險","奇幻","魔法",NULL,NULL,NULL,"小說改編","新作"
"不道德公會",643000,53583,"2022","秋番",12,"4.8",3356,"朝岡卓矢","TNK","冒險","奇幻","魔法","喜劇",NULL,NULL,"漫畫改編","新作"
"書蟲公主",486000,40500,"2022","秋番",12,"4.7",2211,"岩崎太郎","MADHOUSE","戀愛",NULL,NULL,NULL,NULL,NULL,"小說改編","新作"
"飆速宅男 第五季",175000,7000,"2022","秋番",25,"4.8",237,"鍋島修","TMS Entertainment","校園","勵志","運動",NULL,NULL,NULL,"漫畫改編","續作"
"菜鳥鍊金術師開店營業中",1154000,96167,"2022","秋番",12,"4.6",4568,"博史池畠","ENGI","奇幻","魔法","溫馨",NULL,NULL,NULL,"小說改編","新作"
"BLEACH 死神 千年血戰篇",2645000,203462,"2022","秋番",13,"4.9",11253,"田口智久","Studio Pierrot","動作","冒險","奇幻","血腥暴力",NULL,NULL,"漫畫改編","續作"
"弩級戰隊 HXEROS",685000,57083,"2020","夏番",12,"4.5",1237,"神保昌登","project No.9","科幻","校園","喜劇","戀愛",NULL,NULL,"漫畫改編","新作"
"MUV-LUV ALTERNATIVE",561000,46750,"2021","秋番",12,"4.2",1407,"西本由紀夫","FLAGSHIP LINE、ゆめ太カンパニー、Graphinica","科幻","機甲","戀愛",NULL,NULL,NULL,"遊戲改編","新作"
"萬能戰士無比敵",60000,5000,"2021","秋番",12,"4.1",326,"高橋良輔","手塚プロダクション、タツノコプロ","冒險","科幻","闔家觀賞",NULL,NULL,NULL,"原創作品","續作"
"獻身給魔王伊伏洛基亞吧",324000,36000,"2021","秋番",9,"3.6",1106,"凪早苗","studio HOKIBOSHI","奇幻","異世界","戀愛","BL","泡麵番",NULL,"漫畫改編","新作"
"異世界食堂 2",1578000,131500,"2021","秋番",12,"4.9",4985,"神保昌登","OLM","奇幻","異世界","溫馨","料理",NULL,NULL,"小說改編","續作"
"VISUAL PRISON 視覺監獄",273000,22750,"2021","秋番",12,"4.5",1265,"古田丈司、田中智也","A-1 Pictures","動作","奇幻","音樂",NULL,NULL,NULL,"原創作品","新作"
"宿命迴響：命運節拍",1594000,132833,"2021","秋番",12,"4.5",7767,"伊藤祐毅","MAPPA×MADHOUSE","動作","冒險","奇幻","音樂",NULL,NULL,"原創作品","新作"
"世界頂尖的暗殺者轉生為異世界貴族",5810000,484167,"2021","秋番",12,"4.8",13601,"田村正文","SILVER LINK.×studioぱれっと","冒險","奇幻","異世界",NULL,NULL,NULL,"小說改編","新作"
"境界戰機",462000,35538,"2021","秋番",13,"3.9",912,"羽原信義","BANDAI SPIRITS、SUNRISE BEYOND","科幻","機甲",NULL,NULL,NULL,NULL,"原創作品","續作"
"逆轉世界的電池少女",276000,23000,"2021","秋番",12,"4.6",1254,"安藤正臣","Lerche","科幻","機甲",NULL,NULL,NULL,NULL,"原創作品","新作"
"陰陽眼見子",3481000,290083,"2021","秋番",12,"4.9",12749,"小川優樹","Passione","超能力","校園","靈異神怪",NULL,NULL,NULL,"漫畫改編","新作"
"前輩有夠煩",2546000,212167,"2021","秋番",12,"5",16896,"伊藤良太","動画工房","戀愛","職場",NULL,NULL,NULL,NULL,"漫畫改編","新作"
"進化果實～不知不覺踏上勝利的人生～",1680000,140000,"2021","秋番",12,"3.1",6898,"奥村よしあき","HOTLINE","冒險","奇幻","異世界",NULL,NULL,NULL,"小說改編","新作"
"吸血鬼馬上死",995000,82917,"2021","秋番",12,"4.9",3957,"神志那弘志","MADHOUSE","奇幻","喜劇","靈異神怪",NULL,NULL,NULL,"漫畫改編","新作"
"月與萊卡與吸血公主",575000,47917,"2021","秋番",12,"4.8",2896,"橫山彰利","Arvo Animation","科幻","青春",NULL,NULL,NULL,NULL,"小說改編","新作"
"大正處女御伽話",673000,56083,"2021","秋番",12,"4.9",3937,"羽鳥潤","SynergySP","戀愛","溫馨",NULL,NULL,NULL,NULL,"漫畫改編","新作"
"狂熱深淵-迷失的孩子",185000,15417,"2021","秋番",12,"2.5",899,"大沼心","SILVER LINK.","冒險","科幻",NULL,NULL,NULL,NULL,"原創作品","新作"
"橘色榮耀！",100000,8333,"2021","秋番",12,"4.5",440,"安齋剛文","C2C","校園","運動",NULL,NULL,NULL,NULL,"原創作品","新作"
"四季櫻",101000,8417,"2021","秋番",12,"3.7",325,"須貝真也","サブリメイション","冒險","科幻",NULL,NULL,NULL,NULL,"原創作品","新作"
"魯邦三世 PART6",305000,12708,"2021","秋番",24,"4.8",712,"菅沼榮治","TMS Entertainment","動作","喜劇",NULL,NULL,NULL,NULL,"漫畫改編","續作"
"國王排名",6078000,264261,"2021","秋番",23,"4.7",18567,"八田洋介","WIT STUDIO","冒險","奇幻","勵志","溫馨",NULL,NULL,"漫畫改編","續作"
"鍵等",241000,20083,"2021","秋番",12,"4.8",1044,"坂本一也","LIDENFILMS 京都 Studio","校園","喜劇","泡麵番",NULL,NULL,NULL,"遊戲改編","續作"
"世界盡頭的聖騎士",1700000,141667,"2021","秋番",12,"4.3",4305,"信田ユウ","Children's Playground Entertainment","冒險","奇幻","魔法",NULL,NULL,NULL,"小說改編","續作"
"BURN THE WITCH 龍與魔女",306000,102000,"2020","秋番",3,"4.8",1807,"川野達朗","teamヤマヒツヂ／スタジオコロリド","動作","魔法","校園",NULL,NULL,NULL,"漫畫改編","新作"
"排球少年！！第四季 Part 2",3785000,315417,"2020","秋番",12,"4.9",5512,"佐藤雅子","Production I.G","校園","勵志","運動",NULL,NULL,NULL,"漫畫改編","續作"
"成神之日",1526000,127167,"2020","秋番",12,"3.7",4850,"淺井義之","P.A. WORKS","科幻","校園","戀愛",NULL,NULL,NULL,"原創作品","新作"
"戰翼的希格德莉法",438000,36500,"2020","秋番",12,"4.4",1189,"德田大貴","A-1 Pictures","動作","科幻",NULL,NULL,NULL,NULL,"原創作品","新作"
"魔法科高中的劣等生 來訪者篇",3881000,298538,"2020","秋番",13,"4.8",4356,"吉田りさこ","8bit","奇幻","魔法","科幻","校園",NULL,NULL,"小說改編","續作"
"阿松 第三季",468000,18720,"2020","秋番",25,"4.4",736,"藤田陽一","studio Pierrot","喜劇","悠閒",NULL,NULL,NULL,NULL,"漫畫改編","續作"
"請問您今天要來點兔子嗎？BLOOM",552000,46000,"2020","秋番",12,"4.9",2307,"橋本裕之","ENCOURAGE FILMS","喜劇","溫馨","悠閒",NULL,NULL,NULL,"漫畫改編","續作"
"在魔王城說晚安",3362000,280167,"2020","秋番",12,"4.9",8792,"山崎みつえ","動画工房","奇幻","喜劇",NULL,NULL,NULL,NULL,"漫畫改編","新作"
"我立於百萬生命之上",2081000,173417,"2020","秋番",12,"4.1",2139,"羽原久美子","MAHO FILM","動作","冒險","奇幻","異世界","魔法",NULL,"漫畫改編","續作"
"魔女之旅",2471000,205917,"2020","秋番",12,"4.9",7869,"窪岡俊之","C2C","冒險","奇幻","魔法","血腥暴力","黑暗",NULL,"小說改編","新作"
"勇者鬥惡龍 達伊的大冒險",4643000,45970,"2020","秋番",101,"4.8",3458,"堀井雄二","東映動畫","動作","冒險",NULL,NULL,NULL,NULL,"漫畫改編","新作"
"眾神眷顧的男人",2406000,200500,"2020","秋番",12,"4.5",3182,"柳瀬雄之","MAHO FILM","奇幻","異世界","魔法",NULL,NULL,NULL,"小說改編","新作"
"前說！",82000,6308,"2020","秋番",13,"4.4",184,"信田ユウ","Studio 五組、AXsiZ","喜劇","溫馨","職場",NULL,NULL,NULL,"原創作品","新作"
"體操武士",285000,25909,"2020","秋番",11,"4.9",1408,"清水久敏","MAPPA","勵志","溫馨","親情","運動","競技","闔家觀賞","原創作品","新作"
"攀岩少女！",453000,37750,"2020","秋番",12,"4.5",810,"網野哲郎","BLADE","勵志","運動","競技",NULL,NULL,NULL,"漫畫改編","新作"
"催眠麥克風",761000,58538,"2020","秋番",13,"4.7",1265,"小野勝巳","A-1 Pictures","競技","音樂",NULL,NULL,NULL,NULL,"原創作品","續作"
"Love Live！虹咲學園 學園偶像同好會",650000,50000,"2020","秋番",13,"4.8",2306,"公野櫻子","SUNRISE","校園","青春","偶像","音樂",NULL,NULL,"漫畫改編","新作"
"月歌。THE ANIMATION 2",78000,6000,"2020","秋番",13,"4.1",185,"西本由紀夫","Children's Playground Entertainment","偶像","音樂",NULL,NULL,NULL,NULL,"改編作品","續作"
"光之戰記 -ZUERST-",182000,15167,"2020","秋番",12,"4.1",268,"細田直人","橫濱アニメーションラボ","冒險","奇幻",NULL,NULL,NULL,NULL,"遊戲改編","新作"
"小碧藍幻想！",232000,19333,"2020","秋番",12,"4.7",494,"森井ケンシロウ","DMM.futureworks、W-Toon Studio","冒險","奇幻","魔法","喜劇","泡麵番",NULL,"遊戲改編","新作"
"咒術迴戰",22381000,932542,"2020","秋番",24,"4.9",20200,"朴性厚","MAPPA","動作","奇幻","超能力","校園","血腥暴力","靈異神怪","漫畫改編","新作"
"黃金神威 第三季",1266000,105500,"2020","秋番",12,"5",3871,"難波日登志","Geno Studio","動作","冒險","料理","歷史",NULL,NULL,"漫畫改編","續作"
"半妖的夜叉姬",1663000,69292,"2020","秋番",24,"3.7",1750,"佐藤照雄","SUNRISE","冒險","靈異神怪",NULL,NULL,NULL,NULL,"漫畫改編","續作"
"D4DJ First Mix",381000,27214,"2020","秋番",14,"4.9",1190,"水島精二","三次元","校園","青春","偶像","音樂",NULL,NULL,"遊戲改編","續作"
"王之逆襲：意志的繼承者",776000,29846,"2020","秋番",26,"4.1",628,"星野真","OLM × SUNRISE BEYOND","冒險","奇幻",NULL,NULL,NULL,NULL,"遊戲改編","新作"
"鐵路浪漫譚",149000,12417,"2020","秋番",12,"4.5",468,"ひらさわひさよし","サエッタ","戀愛","泡麵番",NULL,NULL,NULL,NULL,"遊戲改編","續作"
"彼得・格里爾的賢者時間 Super Extra 年齡限制版",569000,47417,"2022","秋番",12,"4.3",1850,"辰美","WolfsBane×Animation StudiO Seven","奇幻","喜劇","18禁",NULL,NULL,NULL,"漫畫改編","續作"
"土下座跪求給看 年齡限制版",1034000,79539,"2020","秋番",13,"4.5",1725,"永居慎平","アドネロ","動作","喜劇","勵志","18禁",NULL,NULL,"漫畫改編","新作"
"女神宿舍的管理員。 年齡限制版",1127000,112700,"2021","夏番",10,"4.7",2324,"中重俊祐","Asread","校園","喜劇","戀愛","18禁",NULL,NULL,"漫畫改編","新作"
"彼得・格里爾的賢者時間 年齡限制版",1339000,111583,"2020","夏番",12,"4.2",1552,"辰美","Wolfsbane","奇幻","喜劇","18禁",NULL,NULL,NULL,"漫畫改編","新作"
